127.0.0.1 - - [07/Apr/2016:09:05:44 +0900] "GET / HTTP/1.1" 200 16400
127.0.0.1 - - [07/Apr/2016:09:14:10 +0900] "GET / HTTP/1.1" 200 16400
10.225.152.165 - - [07/Apr/2016:09:38:10 +0900] "GET / HTTP/1.1" 200 16737
10.225.152.165 - - [07/Apr/2016:09:38:10 +0900] "GET /resource/styles.css;jsessionid=F0F86D4D05E83A09E72A616CA399C440 HTTP/1.1" 200 11202
10.225.152.165 - - [07/Apr/2016:09:38:10 +0900] "GET /resource/js/scripts.js;jsessionid=F0F86D4D05E83A09E72A616CA399C440 HTTP/1.1" 200 816
10.225.152.165 - - [07/Apr/2016:09:38:10 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css;jsessionid=F0F86D4D05E83A09E72A616CA399C440 HTTP/1.1" 200 6590
10.225.152.165 - - [07/Apr/2016:09:38:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
10.225.152.165 - - [07/Apr/2016:09:38:14 +0900] "POST /doLogin;jsessionid=F0F86D4D05E83A09E72A616CA399C440 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:14 +0900] "GET /hitTheRoad HTTP/1.1" 200 36158
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/place/recommendPlace.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/place/hitTheRoad.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/pack/sharePack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/pack/myPack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/styles.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/reserve/tripReservation.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /assets/css/main.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:15 +0900] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:18 +0900] "GET /selectedCountry?selectedCountryName=United-States HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:18 +0900] "GET /hitTheRoad HTTP/1.1" 200 36269
10.225.152.165 - - [07/Apr/2016:09:38:25 +0900] "GET /selectedCountry?selectedCountryName=United-States HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:25 +0900] "GET /hitTheRoad HTTP/1.1" 200 36158
10.225.152.165 - - [07/Apr/2016:09:38:27 +0900] "GET /selectedCountry?selectedCountryName=Korea HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:27 +0900] "GET /hitTheRoad HTTP/1.1" 200 99993
10.225.152.165 - - [07/Apr/2016:09:38:30 +0900] "GET /selectedCountry?selectedCountryName=United-States HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:30 +0900] "GET /hitTheRoad HTTP/1.1" 200 100104
10.225.152.165 - - [07/Apr/2016:09:38:32 +0900] "GET /selectedCountry?selectedCountryName=United-States HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:32 +0900] "GET /hitTheRoad HTTP/1.1" 200 99993
10.225.152.165 - - [07/Apr/2016:09:38:37 +0900] "GET /selectedStandard?selectedStandard=X&selectedStandardName=HighPrice-LowPrice HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:37 +0900] "GET /hitTheRoad HTTP/1.1" 200 100007
10.225.152.165 - - [07/Apr/2016:09:38:50 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs255 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:38:51 +0900] "GET /hitTheRoad?placeId=255 HTTP/1.1" 200 101010
10.225.152.165 - - [07/Apr/2016:09:38:51 +0900] "GET /resource/img/common/santorini.jpg HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:54 +0900] "GET /detailPlace?placeId=255 HTTP/1.1" 200 15038
10.225.152.165 - - [07/Apr/2016:09:38:54 +0900] "GET /resource/css/place/detailPlace.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:38:55 +0900] "GET /image?imageName=Everland.jpg HTTP/1.1" 200 14155
10.225.152.165 - - [07/Apr/2016:09:39:39 +0900] "GET /detailPlace?placeId=255 HTTP/1.1" 200 15038
